2026-07-28 19:36:57 | main.py:12 | INFO     | Starting LLM Serving API
2026-07-28 19:41:37 | chat.py:11 | INFO     | Processing chat request using model: qwen2.5:0.5b
2026-07-28 19:42:46 | main.py:16 | INFO     | Shutting down LLM Serving API
2026-07-28 19:42:48 | main.py:12 | INFO     | Starting LLM Serving API
2026-07-28 19:42:56 | chat.py:11 | INFO     | Processing chat request using model: qwen2.5:0.5b
2026-07-28 19:47:28 | main.py:16 | INFO     | Shutting down LLM Serving API
2026-07-28 19:47:30 | main.py:12 | INFO     | Starting LLM Serving API
2026-07-28 19:48:07 | main.py:16 | INFO     | Shutting down LLM Serving API
2026-07-28 19:48:08 | main.py:12 | INFO     | Starting LLM Serving API
2026-07-28 19:48:22 | main.py:16 | INFO     | Shutting down LLM Serving API
2026-07-28 19:48:23 | main.py:12 | INFO     | Starting LLM Serving API
2026-07-28 19:48:23 | main.py:16 | INFO     | Shutting down LLM Serving API
2026-07-28 19:48:25 | main.py:12 | INFO     | Starting LLM Serving API
2026-07-28 19:48:38 | chat.py:11 | INFO     | Processing chat request using model: qwen:0.5b
2026-07-28 19:48:40 | ollama.py:26 | INFO     | Request URL: http://localhost:11434/api/chat
2026-07-28 19:48:40 | ollama.py:27 | INFO     | Status: 200
2026-07-28 19:48:40 | ollama.py:28 | INFO     | Response: {"model":"qwen:0.5b","created_at":"2026-07-28T14:18:40.1025763Z","message":{"role":"assistant","content":"As an AI language model, I do not have personal characteristics or emotions. I exist solely to process and generate text based on the input given to me. My purpose is to assist users in generating text that accurately reflects their input."},"done":true,"done_reason":"stop","total_duration":1137260000,"load_duration":558796000,"prompt_eval_count":12,"prompt_eval_duration":80381000,"eval_count":47,"eval_duration":466475000}
2026-07-28 19:48:40 | chat.py:21 | SUCCESS  | Chat request completed successfully
2026-07-28 19:50:50 | main.py:16 | INFO     | Shutting down LLM Serving API
